variable,n,mean_ours,mean_arm,bias_ours_minus_arm,sd_diff,rmse,median_abs_diff,pearson_r,deming_slope,deming_intercept,ba_loa_low,ba_loa_high,drift_permil_per_30d,r_diff_vs_H2O
dD,4404,-228.08366361413204,-237.41709151259153,9.333427898459515,4.674592740900621,10.438377834589465,8.900844860276848,0.9953042115939849,1.0218876561625891,14.529931564609058,0.17122612629429668,18.495629670624734,-0.7809844038194531,0.11604543723517528
d18O,4404,-29.554620162853638,-31.26222104576559,1.7076008829119533,2.368895019217099,2.919981193035525,1.2504381187218012,0.9637270939261143,1.305567275884454,11.260312605964188,-2.9354333547535605,6.350635120577468,1.1748340439285647,0.6481656867770191
d_excess,4404,8.353297688697115,12.680676853533221,-4.327379164836108,20.129717114117,20.587367801958727,15.73697605199073,0.5276026508704321,1.345010006029706,-8.702339562534359,-43.781624708505426,35.126866378833206,-10.179656755247967,-0.5832683346314835
