time,H2O_ppm,d18O,dD,d_excess,met_temp,met_pressure,met_rh,met_vapor_pressure,met_wspd,met_wdir,rad_sw_down,rad_sw_up,rad_lw_down,rad_lw_up,rad_net,isen_225_ipv,isen_225_gph,isen_500_ipv,isen_500_gph,isen_825_ipv,isen_825_gph,flux_2m_h2o,flux_2m_h2o_density,flux_2m_co2_density,flux_3m_h2o,flux_3m_h2o_density,flux_3m_co2_density,flux_5m_h2o,flux_5m_h2o_density,flux_5m_co2_density,flux_10m_h2o,flux_10m_h2o_density,flux_10m_co2_density,flux_15m_h2o,flux_15m_h2o_density
2022-11-21 00:00:00,,,,,-1.120180346211056,71.8635470221804,26.74817561265219,0.1481257884594573,2.8481491268693224,23.951507044145654,-0.40051609349871525,2.627974364022489,198.10508495791308,274.6746435727594,-79.61116929483087,7.680119750065374e-07,11136.939727563244,3.9242386643381926e-07,5700.307042171828,6.8072131367516494e-06,1772.366849282659,,,,0.024269025899999998,5.935309280000001,4.4761551299999995,0.0197998837,7.517902000000001,3.70773843,0.02229457521,3.2230330109596252,3.70529401,,
2022-11-21 01:00:00,,,,,-1.9955297303861463,71.87739358629238,29.657889017282304,0.152450632868856,2.7006460236940497,25.294564937386447,-5.201818645778495,-2.651184447975748,196.28079844644577,268.7661135995319,-75.04284119192246,7.367588636282268e-07,11143.579465128238,3.921126031992697e-07,5704.307692017118,1.1149943706855777e-05,1776.6867162198712,,,,0.0348167836,12.915049,9.05516226,0.024302115500000002,15.9191582,7.46721518,0.0159103028,7.106926798820497,7.42529578,,
2022-11-21 02:00:00,,,,,-4.234789789371227,71.90000192413432,35.20897385732398,0.14971768330523322,1.389379336375906,136.6587042027127,-5.232703513639924,-2.8479802673196346,192.85323016783707,257.5453567019411,-67.10102413283549,7.121007426963731e-07,11148.627012068557,3.8423863986556745e-07,5707.391888237382,1.8045438170035324e-05,1779.86429782518,,,,0.02042354833,14.165193200000001,9.222757529999999,0.01571230899,17.3041018,7.589349029999998,0.010790926444000001,8.088706612586975,7.591564550000001,,
2022-11-21 03:00:00,,,,,-6.399660737484781,71.91019599278697,40.79450193504975,0.14420652171407455,1.484945174109373,82.29938403319105,-4.416597200273666,-2.901442603863427,188.5131751965406,245.59556180626512,-58.595446079073355,7.075536607487796e-07,11153.708889357471,3.748717053599433e-07,5711.333872461492,2.6375506343796943e-05,1783.9281511403728,0.0020748354299999997,5.284824599999999,2.08350118,0.009555231376,13.623805299999997,8.52103022,0.007519395162000001,16.0267407,7.60612027,-0.0013157031670000003,7.180955171585083,7.54070236,-0.00845938972,1.7644761199999999
2022-11-21 04:00:00,,,,,-8.821396986474813,71.92024594394806,51.85755370546353,0.14914319748789154,1.1345749649805612,217.18189723304235,-4.477367423419092,-2.4414841538048764,186.2381169826369,243.2080098373613,-59.01867258303965,7.30242854350864e-07,11155.481384196497,3.668292086685181e-07,5711.916196295763,3.28288751708081e-05,1784.568674939712,0.0029867528000000003,15.696144800000003,6.286023629999999,0.002106431036,15.297643599999999,7.14873493,0.00042014101200000013,16.4814479,7.69462183,-0.00148306592,8.422621309757233,7.57654824,0.000580616466,5.33802323
2022-11-21 05:00:00,,,,,-10.412874107640075,71.93139883574806,58.13964398132456,0.14581921337803616,1.354052938068157,119.18931149837549,-3.907464829561402,-2.5543577722710884,182.42595972223137,236.2061742917061,-55.127686672999566,7.862004696758224e-07,11161.377918523152,3.508540089564527e-07,5716.062436290752,3.868006982943149e-05,1788.4114155409452,0.0003528541899999999,15.6856172,6.32572315,0.001312759656,15.285166499999999,7.204523569999999,-0.0009417605950000002,16.5277213,7.755106449999999,-0.001003571431,8.108663320541384,7.59348501,0.005234414497000001,5.3199635800000005
2022-11-21 06:00:00,,,,,-10.362944703428981,71.94883988121242,56.465805019819655,0.14227534159479602,0.8679760473102681,63.03158249156786,-3.979231090909434,-2.38054998467232,179.81164898958238,235.36140625713372,-57.14972730538577,8.679273378245843e-07,11164.05200871618,3.3538086683031203e-07,5717.039112472252,4.482847833951996e-05,1789.3207837773116,0.0006701178157,15.282580900000001,6.3388729900000005,6.641213000000005e-05,14.809443,7.20774965,-0.0010014418154,15.969182000000002,7.7424563,-0.0005088300289999998,7.811590433120728,7.542397759999999,0.0030213764529999996,5.27071019
2022-11-21 07:00:00,,,,,-11.440476798599226,71.94657186629546,60.365348065905124,0.13847960308789284,1.1071000400106907,98.1082883270482,-3.937282854165556,-2.308029244894863,177.41365753844104,232.32883179948908,-56.54369973444461,9.603436838580409e-07,11166.750059825847,3.230898691068005e-07,5718.349158016972,5.046507508234759e-05,1790.7762346187876,0.001419364095,15.2931678,6.393065169999999,5.7061577999999996e-05,14.770797199999997,7.280692429999999,0.0010584125915000003,16.0286774,7.82543249,-0.0016456125350000003,7.68928325176239,7.61202767,0.0021330059964999996,5.31001123
2022-11-21 08:00:00,,,,,-11.957068145282188,71.9283058635006,62.19114869599322,0.1363980275481842,0.9898880575644239,101.77392648040934,-3.7015661060725047,-2.2656433243354503,177.2988379347433,231.18982430142037,-55.33339472494235,1.0100693060754326e-06,11166.646389385643,3.161633190624891e-07,5717.150358846895,5.5508203809951634e-05,1789.9511628012901,0.001935760543,15.129460999999997,6.418616919999999,0.0003787582985,14.586405599999997,7.315198499999999,-0.0015408846766,15.934804100000001,7.87220097,-0.002558490652,7.444984138011932,7.645747640000001,0.001542192158,5.29605223
2022-11-21 09:00:00,,,,,-12.468747180413057,71.92987463216907,63.444601763497445,0.13310099532717304,0.8902780921361996,109.19906143247957,-3.6882573909981575,-2.3158860121356533,176.97003268660706,230.10276526623417,-54.504572849911135,1.0045976895609354e-06,11169.191741685261,3.1022072814429246e-07,5718.808496942295,5.9560388437388285e-05,1791.6981955540143,0.000759528747,14.868939899999999,6.415158809999999,-0.00012805764200000003,14.2727081,7.30364378,-0.0015446592120000001,15.543201900000001,7.84699373,-0.00027054192000000013,7.246646285057069,7.63629779,0.0015431009810000001,5.29895164
