point_number,center_date,days_from_start,window_start,window_end,window_size,n_standards,dD_slope,dD_intercept,dD_r_squared,d18O_slope,d18O_intercept,d18O_r_squared,standards_used
1,2022-12-13,0,2022-11-28,2022-12-28,30,3,0.9395355776650842,-27.880771486439784,0.9998853283247381,1.1697582658408794,4.40360453559564,0.9999949836317656,"UNM Greenland, UNM South Pole, USGS47"
2,2022-12-28,15,2022-12-13,2023-01-12,30,6,0.9322976314359812,-26.029745411675492,0.9952937919059293,1.1851067830119542,3.970274036263916,0.9868912299445609,"UNM Greenland, UNM South Pole, USGS47"
3,2023-01-12,30,2022-12-28,2023-01-27,30,4,0.8980227297687939,-31.673210307188754,0.999485693178457,0.8495186393003477,-8.893168976256028,0.9834613309313199,"UNM Greenland, UNM South Pole"
4,2023-01-27,45,2023-01-07,2023-02-16,40,9,0.9458726143856447,-18.07216417400116,0.9967532792695881,1.0590383974499105,-1.097669760225962,0.8591825661723208,"UNM Greenland, UNM South Pole"
5,2023-02-11,60,2023-01-27,2023-02-26,30,5,0.9921531989705086,-5.028847272181679,0.9992912149026981,1.2597947290867146,6.297340864171034,0.8583584948771328,"UNM South Pole, UNM Greenland"
6,2023-02-26,75,2023-02-06,2023-03-18,40,7,0.9467073208047467,-17.659745694929768,0.9965944957584147,1.1199380864838924,1.1425982399012469,0.8793500485320713,"UNM South Pole, UNM Greenland"
7,2023-03-13,90,2023-02-21,2023-04-02,40,3,0.9288288404785608,-21.567466897911345,0.9997360991333886,0.8837591323204942,-8.25820919974809,0.9996215696491291,"UNM Greenland, UNM South Pole, USGS47"
8,2023-03-28,105,2023-03-13,2023-04-12,30,3,0.9263784266988624,-21.72187373362206,0.9999389247902146,0.8774388913965426,-9.072903213314088,0.9946940056688293,"UNM South Pole, USGS47, USGS46"
9,2023-04-12,120,2023-03-28,2023-04-27,30,3,0.9575717941586238,-16.01673728745922,0.9999668300602442,0.9476611577989068,-7.437031610828935,0.9991592349538887,"USGS47, USGS46, W-64444"
